经方方证 JUnit 测试套件 —— 运行报告
生成时间：2026-09-22T12:59:29.888974800
用例总数：280，通过 259，失败 21，跳过 0，总墙钟 105.7s

──────── 全部用例（按 @Order 排序） ────────
PASS   ShaoyangYangmingFangzhengTest      t_dahuangmudantang               「大黄牡丹汤证」           0.37s  @Order(127)
PASS   ShaoyangYangmingFangzhengTest      t_dahuangxiaoshitang             「大黄硝石汤证」           0.41s  @Order(128)
PASS   ShaoyangYangmingFangzhengTest      t_dahuangfuzitang                「大黄附子汤证」           0.38s  @Order(129)
PASS   ShaoyangYangmingFangzhengTest      t_houpodahuangtang               「厚朴大黄汤证」           0.41s  @Order(132)
PASS   ShaoyangYangmingFangzhengTest      t_houpousanwutang                「厚朴三物汤证」           0.48s  @Order(134)
PASS   ShaoyangYangmingFangzhengTest      t_zhishizhizichitang             「枳实栀子豉汤证」          0.38s  @Order(139)
PASS   ShaoyangYangmingFangzhengTest      t_banxiaxiexintang               「半夏泻心汤证」           0.46s  @Order(161)
PASS   ShaoyangYangmingFangzhengTest      t_shengjiangxiexintang           「生姜泻心汤证」           0.42s  @Order(162)
PASS   ShaoyangYangmingFangzhengTest      t_gancaoxiexintang               「甘草泻心汤证（伤寒）」       0.31s  @Order(163)
PASS   ShaoyangYangmingFangzhengTest      t_gancaoxiexintang_huhuo         「甘草泻心汤证（狐惑）」       0.37s  @Order(164)
PASS   ShaoyangYangmingFangzhengTest      t_dahuanghuanglianxiexintang     「大黄黄连泻心汤证」         0.39s  @Order(165)
PASS   ShaoyangYangmingFangzhengTest      t_fuzixiexintang                 「附子泻心汤证」           0.44s  @Order(166)
PASS   ShaoyangYangmingFangzhengTest      t_huangliantang                  「黄连汤证」             0.35s  @Order(168)
PASS   ShaoyangYangmingFangzhengTest      t_ganjianghuangqinhuanglianrenshentang 「干姜黄芩黄连人参汤证」       0.35s  @Order(169)
PASS   ShaoyangYangmingFangzhengTest      t_shengjiangxiexintang_alias     「半夏泻心汤证（生姜泻心汤衍化）」     0.33s  @Order(170)
PASS   ShaoyangYangmingFangzhengTest      t_zhizichitang                   「栀子豉汤证」            0.38s  @Order(321)
PASS   ShaoyangYangmingFangzhengTest      t_zhizigancaochitang             「栀子甘草豉汤证」          0.42s  @Order(322)
PASS   ShaoyangYangmingFangzhengTest      t_zhizishengjiangchitang         「栀子生姜豉汤证」          0.47s  @Order(323)
PASS   ShaoyangYangmingFangzhengTest      t_zhizihoupotang                 「栀子厚朴汤证」           0.35s  @Order(324)
PASS   ShaoyangYangmingFangzhengTest      t_zhiziganjiangtang              「栀子干姜汤证」           0.32s  @Order(325)
PASS   ShaoyangYangmingFangzhengTest      t_zhizibaipitang                 「栀子柏皮汤证」           0.32s  @Order(326)
PASS   ShaoyangYangmingFangzhengTest      t_zhizidahuangtang               「栀子大黄汤证」           0.37s  @Order(327)
PASS   ShaoyangYangmingFangzhengTest      t_zhizichitang_yangming          「栀子豉汤证（阳明）」        0.42s  @Order(588)
PASS   ShaoyangYangmingFangzhengTest      t_yinchenhaotang                 「茵陈蒿汤证」            0.35s  @Order(591)
PASS   ShaoyinTaiyinFangzhengTest         t_guizhijiashaoyaotang           「桂枝加芍药汤证」          0.38s  @Order(8)
PASS   ShaoyinTaiyinFangzhengTest         t_guizhijiadahuangtang           「桂枝加大黄汤证」          0.41s  @Order(9)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseMahuangFuziXixinTangPattern 「麻黄附子细辛汤证诊断」       0.33s  @Order(33)
PASS   ShaoyinTaiyinFangzhengTest         t_mahuangfuzigancaotang          「麻黄附子甘草汤证」         0.37s  @Order(34)
PASS   ShaoyinTaiyinFangzhengTest         t_mahuangfuzitang                「麻黄附子汤证」           0.44s  @Order(35)
PASS   ShaoyinTaiyinFangzhengTest         t_sheganmahuangtang              「射干麻黄汤证」           0.32s  @Order(43)
PASS   ShaoyinTaiyinFangzhengTest         t_yuebijiabanxiatang             「越婢加半夏汤证」          0.33s  @Order(47)
