pattern_id,pattern_name,feature,weight,abs_weight
fj:MuLiSan,牡蛎散证,zz:HanChu__AND__【金匮附方】,1.8679,1.8679
fj:MuLiZeXieSan,牡蛎泽泻散证,zz:DaBingChaHou,4.376,4.376
fj:MuLiZeXieSan,牡蛎泽泻散证,zz:YaoYiXiaYouShuiQi,3.3283,3.3283
fj:MuLiZeXieSan,牡蛎泽泻散证,【金匮15-21】,0.1902,0.1902
fj:MuXiangSan,木香散证,zz:QiNi,7.8946,7.8946
fj:PaiNongSan,排脓散证,zz:YouNong,3.4359,3.4359
fj:PaiNongSan,排脓散证,【金匮16-20】,2.1456,2.1456
fj:PaiNongSan,排脓散证,zz:ChuangYong,2.0858,2.0858
fj:PaiNongTang,排脓汤证,zz:YouNong,3.4359,3.4359
fj:PaiNongTang,排脓汤证,【金匮16-20】,2.1456,2.1456
fj:PaiNongTang,排脓汤证,zz:ChuangYong,2.0858,2.0858
fj:QiWeiShuQiWan,肾气丸证（虚劳）,zz:XuLaoYaoTong,4.1001,4.1001
fj:QiWeiShuQiWan,肾气丸证（虚劳）,【金匮6-15】,2.8735,2.8735
fj:QiWeiShuQiWan,肾气丸证（虚劳）,zz:ShaoFuJuJi,0.6937,0.6937
fj:QiWeiShuQiWan_JinKui,肾气丸证（虚劳）,zz:XuLaoYaoTong,4.1001,4.1001
fj:QiWeiShuQiWan_JinKui,肾气丸证（虚劳）,【金匮6-15】,2.8735,2.8735
fj:QiWeiShuQiWan_JinKui,肾气丸证（虚劳）,zz:ShaoFuJuJi,0.6937,0.6937
fj:QianJinWeiJingTang,葶苈大枣泻肺汤证,TuNongRuMiZhou,7.8945,7.8945
fj:QianJinWeiJingTang_JinKui,葶苈大枣泻肺汤证（金匮）,【金匮12-36】,7.063,7.063
fj:QianJinWeiJingTang_JinKui,葶苈大枣泻肺汤证（金匮）,zz:TuNongRuMiZhou,6.3491,6.3491
fj:QinPiSan,秦皮散证,zz:YanTong,3.8933,3.8933
fj:QinPiSan,秦皮散证,zz:ReLi,3.8932,3.8932
fj:RenShenBaiZhuShaoYaoGanCaoTang,人参白术芍药甘草汤证,【10.21】,7.8946,7.8946
fj:RenShenTang,人参汤证,【金匮9-5】,4.8316,4.8316
fj:RenShenTang,人参汤证,zz:XiongMan__AND__zz:XiongBi,1.2454,1.2454
fj:RenShenTang,人参汤证,zz:XieXiaNiQiangXin,1.2444,1.2444
fj:RenShenTang,人参汤证,zz:XinZhongPi,0.0017,0.0017
fj:RenShenTang_JinKui,人参汤证（胸痹）,【金匮9-5】,4.8316,4.8316
fj:RenShenTang_JinKui,人参汤证（胸痹）,zz:XiongMan__AND__zz:XiongBi,1.2454,1.2454
fj:RenShenTang_JinKui,人参汤证（胸痹）,zz:XieXiaNiQiangXin,1.2444,1.2444
fj:RenShenTang_JinKui,人参汤证（胸痹）,zz:XinZhongPi,0.0017,0.0017
fj:SheChuangZiSan,蛇床子散证,zz:FuRenYinHan,5.6091,5.6091
fj:SheChuangZiSan,蛇床子散证,【金匮22-20】,2.2854,2.2854
fj:SheGanMaHuangTang,射干麻黄汤证,zz:HouZhongShuiJiSheng,5.873,5.873
fj:SheGanMaHuangTang,射干麻黄汤证,【金匮7-6】,1.7942,1.7942
fj:SheGanMaHuangTang_JinKui,射干麻黄汤证（肺痿肺痈）,zz:HouZhongShuiJiSheng,5.873,5.873
fj:SheGanMaHuangTang_JinKui,射干麻黄汤证（肺痿肺痈）,【金匮7-6】,1.7942,1.7942
fj:SheXiangWan,麝香丸证,zz:ZhongE,7.8946,7.8946
fj:ShenQiWan_Fuke,肾气丸证（妇人转胞）,zz:FanReBuDeWo,3.6266,3.6266
fj:ShenQiWan_Fuke,肾气丸证（妇人转胞）,zz:YinShiRuGu,1.948,1.948
fj:ShenQiWan_Fuke,肾气丸证（妇人转胞）,zz:FuRen,1.5491,1.5491
fj:ShenQiWan_Fuke,肾气丸证（妇人转胞）,【金匮22-19】,0.6475,0.6475
fj:ShenQiWan_Fuke,肾气丸证（妇人转胞）,zz:ErFanYiXi,0.1235,0.1235
fj:ShengDiHuangWan,生地黄丸证,zz:XuLao,7.8946,7.8946
fj:ShengJiangBanXiaTang,生姜半夏汤证,zz:XiongZhongSiChuanBuChuan,2.5867,2.5867
fj:ShengJiangBanXiaTang,生姜半夏汤证,zz:SiOuBuOu,2.1851,2.1851
fj:ShengJiangBanXiaTang,生姜半夏汤证,zz:SiNiBuNi,1.4997,1.4997
fj:ShengJiangBanXiaTang,生姜半夏汤证,【金匮11-11】,1.1982,1.1982
fj:ShengJiangBanXiaTang,生姜半夏汤证,zz:XinZhongFenFenRan,0.1975,0.1975
fj:ShengJiangBanXiaTang_JinKui,生姜半夏汤证（呕吐）,zz:XiongZhongSiChuanBuChuan,2.5867,2.5867
fj:ShengJiangBanXiaTang_JinKui,生姜半夏汤证（呕吐）,zz:SiOuBuOu,2.1851,2.1851
fj:ShengJiangBanXiaTang_JinKui,生姜半夏汤证（呕吐）,zz:SiNiBuNi,1.4997,1.4997
fj:ShengJiangBanXiaTang_JinKui,生姜半夏汤证（呕吐）,【金匮11-11】,1.1982,1.1982
fj:ShengJiangBanXiaTang_JinKui,生姜半夏汤证（呕吐）,zz:XinZhongFenFenRan,0.1975,0.1975
fj:ShengMaBieJiaQuXiongHuangShuJiaoTang,升麻鳖甲去雄黄蜀椒汤证,zz:ShenTongRuBeiZhang,3.7551,3.7551
fj:ShengMaBieJiaQuXiongHuangShuJiaoTang,升麻鳖甲去雄黄蜀椒汤证,zz:MianMuQing,2.563,2.563
fj:ShengMaBieJiaQuXiongHuangShuJiaoTang,升麻鳖甲去雄黄蜀椒汤证,【金匮3-15】,1.5765,1.5765
fj:ShengMaBieJiaTang,升麻鳖甲汤证,zz:MianChiBanBanRuJinWen,4.7613,4.7613
fj:ShengMaBieJiaTang,升麻鳖甲汤证,zz:TuoNongXue,2.2825,2.2825
fj:ShengMaBieJiaTang,升麻鳖甲汤证,【金匮3-14】,0.8508,0.8508
fj:ShiGaoSan,石膏散证,zz:DaKe,7.8945,7.8945
fj:ShiZaoTang,十枣汤证,jj:WaterRetention,7.3231,7.3231
fj:ShiZaoTang_JinKui,十枣汤证（金匮）,【金匮12-28】,5.194,5.194
fj:ShiZaoTang_JinKui,十枣汤证（金匮）,zz:KeXieYinTong,2.7005,2.7005
fj:ShuQiSan,蜀漆散证,zz:DuoHan,7.8945,7.8945
fj:SiNiTang_JinKui,四逆汤证（金匮）,zz:OuErMaiRuo,3.6903,3.6903
fj:SiNiTang_JinKui,四逆汤证（金匮）,zz:XiaoBianFuLi,1.9456,1.9456
fj:SiNiTang_JinKui,四逆汤证（金匮）,zz:ShenWeiRe,1.1512,1.1512
fj:SiNiTang_JinKui,四逆汤证（金匮）,zz:JianJue,0.7968,0.7968
fj:SiNiTang_JinKui,四逆汤证（金匮）,【金匮11-21】,0.3107,0.3107
fj:SuHeXiangWan,苏合香丸证,zz:JueNi,7.8946,7.8946
fj:TaoHeChengQiTang,桃核承气汤证,jj:BloodStasis,7.6673,7.6673
fj:TaoHuaTang,桃花汤证,【11.27】,7.8946,7.8946
fj:TianXiongSan_JinKui,天雄散证（虚劳）,【金匮6-8】,7.8946,7.8946
fj:TuGuaGenSan,土瓜根散证,zz:ShaoFuManTong,3.8061,3.8061
fj:TuGuaGenSan,土瓜根散证,zz:JingShuiBuLi,2.4112,2.4112
fj:TuGuaGenSan,土瓜根散证,【金匮22-10】,1.0974,1.0974
fj:TuGuaGenSan,土瓜根散证,zz:HuoYiYueZaiJing,0.5799,0.5799
fj:WangBuLiuXingSan,王不留行散证,【金匮16-19】,4.2489,4.2489
fj:WangBuLiuXingSan,王不留行散证,zz:ShenYouChuang,2.2156,2.2156
fj:WangBuLiuXingSan,王不留行散证,zz:JinChuang,1.4301,1.4301
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:MuJiFaRe,3.119,3.119
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:NianWuShiSuo,1.9977,1.9977
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:XiaXueShuRiBuZhi,0.9888,0.9888
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,【金匮22-9】,0.7283,0.7283
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:ShouZhangFanRe,0.4585,0.4585
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:ChunKouGanZao,0.4302,0.4302
fj:WenJingTang_Fuke,温经汤证（妇人杂病）,zz:ShaoFuLiJi,0.172,0.172
fj:WuLingSan_JinKui,五苓散证（金匮）,【金匮12-41】,4.8235,4.8235
fj:WuLingSan_JinKui,五苓散证（金匮）,zz:QiXiaJi,3.071,3.071
fj:WuTouChiShiZhiWan,乌头赤石脂丸证,zz:XiongTongCheBei,2.6286,2.6286
fj:WuTouChiShiZhiWan,乌头赤石脂丸证,zz:CheBeiTongXiong,2.5996,2.5996
fj:WuTouChiShiZhiWan,乌头赤石脂丸证,【金匮9-9】,2.4391,2.4391
fj:WuTouChiShiZhiWan_JinKui,乌头赤石脂丸证（胸痹）,zz:XiongTongCheBei,2.6286,2.6286
fj:WuTouChiShiZhiWan_JinKui,乌头赤石脂丸证（胸痹）,zz:CheBeiTongXiong,2.5996,2.5996
fj:WuTouChiShiZhiWan_JinKui,乌头赤石脂丸证（胸痹）,【金匮9-9】,2.4391,2.4391
fj:WuTouGuiZhiTang_JinKui,乌头桂枝汤证（金匮）,zz:ShouZuBuRen,3.4896,3.4896
fj:WuTouGuiZhiTang_JinKui,乌头桂枝汤证（金匮）,【金匮10-19】,2.2903,2.2903
fj:WuTouGuiZhiTang_JinKui,乌头桂枝汤证（金匮）,zz:NiLeng,1.5296,1.5296
fj:WuTouGuiZhiTang_JinKui,乌头桂枝汤证（金匮）,zz:ShenTiTengTong,0.585,0.585
fj:WuTouTang,乌头汤证,【金匮5-10】,4.5163,4.5163
fj:WuTouTang,乌头汤证,zz:TengTong,2.1838,2.1838
fj:WuTouTang,乌头汤证,zz:LiJieBuKeQuShen,0.9672,0.9672
