pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:GuiZhiQuShaoYaoJiaMuLiLongGuJiuNiTang,桂枝去芍药加牡蛎龙骨救逆汤证,lj:Taiyang_Instance,【7.84】,2,zz:JingKuang(9.6184); zz:WoQiBuAn(8.6184)
fj:GuiZhiJiaGuiTang,桂枝加桂汤证,lj:Taiyang_Instance,【7.90】,1,zz:QiCongShaoFuShangChongXin(9.6184)
fj:GuiZhiGanCaoLongGuMuLiTang,桂枝甘草龙骨牡蛎汤证,lj:Taiyang_Instance,【7.91】,1,zz:FanZao(7.6184)
fj:DaXianXiongWan,大陷胸丸证,lj:Taiyang_Instance,【8.9】,2,zz:RouJing(9.6184); zz:TouXiangQiangTong(6.811)
fj:XiaoXianXiongTang,小陷胸汤证,lj:Taiyang_Instance,【8.17】,3,zz:AnZhiZeTong(9.6184); mx:Pulse_Fu_Hua(9.6184); zz:XinXiaPi(5.2261)
fj:WenHaSan,文蛤散证,lj:Taiyang_Instance,【8.20】,3,zz:RouShangSuQi(9.6184); zz:YiYuYinShui(9.6184); zz:FanBuKe(9.6184)
fj:BaiSan,白散证,lj:Taiyang_Instance,【8.20】,2,zz:HanShiJieXiong(9.6184); zz:WuReZheng(9.6184)
fj:ChaiHuGuiZhiTang,柴胡桂枝汤证,lj:Shaoyang_Instance,【8.25】,5,zz:WeiEHan(9.6184); zz:ShenTiTengTong(6.6184); zz:GanOu(5.7115); zz:FaRe(5.2965); zz:XinXiaPi(5.2261)
fj:ChaiHuGuiZhiGanJiangTang,柴胡桂枝干姜汤证,lj:Shaoyang_Instance,【8.26】,6,zz:KeErBuYuYin(9.6184); zz:DanTouHanChu(8.6184); zz:XiongXieKuMan(8.0334); zz:WangLaiHanRe(7.2965); zz:XinFan(7.0334); zz:XiaoBianBuLi(5.0948)
fj:BanXiaXieXinTang,半夏泻心汤证,lj:Shaoyang_Instance,【8.28】,3,zz:ZiLi(6.6184); zz:GanOu(5.7115); zz:XinXiaPi(5.2261)
fj:ShiZaoTang,十枣汤证,lj:Taiyang_Instance,【8.31】,5,zz:TouTong(8.0334); jj:WaterRetention(7.6184); zz:GanOu(5.7115); zz:HanChu(5.3705); zz:XinXiaPi(5.2261)
