feature,weight,occurrence
【金匮9-6】,7.6184,4
【金匮9-5】,7.6184,4
zz:XinZhongPi,7.6184,4
zz:XiongZhongQiSai,7.6184,4
zz:XieXiaNiQiangXin,7.6184,4
【金匮12-29】,7.6184,4
zz:YiYin,7.6184,4
zz:MianSeHei,7.6184,4
zz:YanTong,7.6184,4
zz:OuBuNengShi,7.6184,4
zz:FeiZhang,7.6184,4
zz:YiShenXiZhong,7.6184,4
zz:RenShen,7.6184,4
zz:WuDaRe,7.6184,4
mx:Pulse_ChenJin,7.6184,4
zz:ReLi,7.6184,4
zz:ChaoRe,7.6184,4
zz:ShenTiTengZhong,7.6184,4
zz:XiaoKe,7.2965,5
zz:WangLaiHanRe,7.2965,5
zz:HuangHan,7.2965,5
zz:FengShui,7.2965,5
zz:TuXianMo,7.2965,5
zz:ShenZhong,7.2965,5
zz:LiShui,7.0334,6
tongue_list,7.0334,6
pulse_list,7.0334,6
symptom_list,7.0334,6
zz:FuZhongTong,7.0334,6
zz:XinFan,7.0334,6
jianjia_list,7.0334,6
zz:ShenMuHuangZhong,7.0334,6
zz:DuanQi,6.811,7
zz:BuKe,6.811,7
zz:WuHan,6.811,7
zz:BaiHeBing,6.811,7
zz:TouXiangQiangTong,6.811,7
zz:OuTu,6.6184,8
zz:ChanHou,6.6184,8
zz:ZiLi,6.6184,8
zz:ShenTiTengTong,6.6184,8
zz:ShenRe,6.4485,9
zz:ShuiQi,6.2965,10
zz:EFeng,6.2965,10
zz:HanShan,6.2965,10
zz:EHan,6.159,11
zz:XiongMan,6.0334,12
zz:ZhiYin,6.0334,12
zz:HuangDan,6.0334,12
mx:Pulse_Fu,5.9179,13
zz:Ke,5.811,14
zz:KeNi,5.811,14
zz:XiaLi,5.7115,15
zz:GanOu,5.7115,15
mx:Pulse_Chen,5.7115,15
zz:FuMan,5.6184,16
zz:HanChu,5.3705,19
zz:XiongBi,5.3705,19
zz:FuTong,5.2965,20
zz:FaRe,5.2965,20
zz:XinXiaPi,5.2261,21
zz:XiaoBianBuLi,5.0948,23
【金匮附方】,4.7115,30
