总实例: 654

===== 含「痛」的实例 (45) =====
  Fupiji                                     腹皮急   [Fupiji]
  Bangguangji                                膀胱急   [Bangguangji]
  Liji                                       里急   [Liji]
  Lijihouchong                               里急后重   [Lijihouchong]
  Jingxiangqiangji                           颈项强急   [Jingxiangqiangji]

===== 含「气」的实例 (26) =====
  Shangqi                                    上气   [Shangqi]
  Keershangqi                                咳而上气   [Keershangqi]
  Yiqi                                       噫气   [Yiqi]
  Shiqi                                      失气   [Shiqi]
  Renshenyoushuiqi                           妊娠有水气   [Renshenyoushuiqi]
  Hanqijueni                                 寒气厥逆   [Hanqijueni]
  Shaoqi                                     少气   [Shaoqi]
  Xinqibuzu                                  心气不足   [Xinqibuzu]
  Qishangchong                               气上冲   [Qishangchong]
  Qishangchongxiong                          气上冲胸   [Qishangchongxiong]
  Qishangchongxiongyan                       气上冲胸咽   [Qishangchongxiongyan]
  Qicongshaofushangchongxin                  气从少腹上冲心   [Qicongshaofushangchongxin]
  Qicongshaofushangchongxiongyan             气从少腹上冲胸咽   [Qicongshaofushangchongxiongyan]
  Qichongjitong                              气冲急痛   [Qichongjitong]
  QiStage                                    气分   [QiStage]
  QiFengPathomechanism                       气分病机   [QiFengPathomechanism]
  Qini                                       气逆   [Qini]
  Huonishangqi                               火逆上气   [Huonishangqi]
  Duanqi                                     短气   [Duanqi]
  Weizhongyouxieqi                           胃中有邪气   [Weizhongyouxieqi]
  StomachQiDepletionPathomechanism           胃气大伤病机   [StomachQiDepletionPathomechanism]
  Xiongzhongqisai                            胸中气塞   [Xiongzhongqisai]
  Jiaoqichongxin                             脚气冲心   [Jiaoqichongxin]
  Yaoyixiayoushuiqi                          腰以下有水气   [Yaoyixiayoushuiqi]
  Xuleishaoqi                                虚羸少气   [Xuleishaoqi]
  Fengqibaiji                                风气百疾   [Fengqibaiji]

===== 含「腰」的实例 (5) =====
  Huoyinyaoji                                或引腰脊   [Huoyinyaoji]
  Yaozhongleng                               腰中冷   [Yaozhongleng]
  Yaoyixiayoushuiqi                          腰以下有水气   [Yaoyixiayoushuiqi]
  Yaotong                                    腰痛   [Yaotong]
  Xulaoyaotong                               虚劳腰痛   [Xulaoyaotong]

===== 含「背」的实例 (8) =====
  Xintongchebei                              心痛彻背   [Xintongchebei]
  Beifanzhang                                背反张   [Beifanzhang]
  Beihanleng                                 背寒冷   [Beihanleng]
  Beihanlengruzhangda                        背寒冷如掌大   [Beihanlengruzhangda]
  Beiqiang                                   背强   [Beiqiang]
  Beiehan                                    背恶寒   [Beiehan]
  Beitongchexin                              背痛彻心   [Beitongchexin]
