共 553 个症状实例

Fare	发热
Xingtisunfen	形体损分
Shenxingruhe	身形如和
Shenyang	身痒
Jifuburen	肌肤不仁
Huoyinyaoji	或引腰脊
Shenweizhong	身微肿
Jingbing	痉
Rufengbizhuang	如风痹状
Gujietong	骨节痛
Gujietengfan	骨节疼烦
Zhijietong	肢节痛
Guanjietengtong	关节疼痛
Zhuzhijietengtong	诸肢节疼痛
Chetongbudequshen	掣痛不得屈伸
Bukequshen	不可屈伸
Yaotong	腰痛
Yaozhongleng	腰中冷
Yaoyixiayoushuiqi	腰以下有水气
Sizhilijietong	四肢历节痛
Zhanyu	谵语
Rukuang	如狂
Jing	惊
Jingkuang	惊狂
Kong	恐
Mengjiao	梦交
Beishang	悲伤
Xibeishangyuku	喜悲伤欲哭
Xiangrushenlingsuozuo	象如神灵所作
Shantaixi	善太息
Danyumei	但欲寐
Budewo	不得卧
Budemian	不得眠
Budeyu	不得语
Woqibuan	卧起不安
Xufan	虚烦
Momo	嘿嘿
Shuqianshen	数欠伸
Wangxing	妄行
Duyubuxiu	独语不休
Fakuang	发狂
Shanwang	善忘
Zhengsheng	郑声
Xunyimochuang	循衣摸床
Tierbuan	惕而不安
Zhenzhenyupidi	振振欲擗地
Shenweizhenzhenyao	身为振振摇
Chashouzimaoxin	叉手自冒心
Yudean	欲得按
Rujianguizhuang	如见鬼状
Duomianshui	多眠睡
Bixibihan	鼻息必鼾
Zhishi	直视
Shisou	失溲
Chizong	瘛疭
Zhenzhenshenrunju	振振身瞤剧
Momoyumian	默默欲眠
Mubudebi	目不得闭
Mianmuzhachizhaheizhabai	面目乍赤乍黑乍白
Yanhuxuanmao	奄忽眩冒
Zhuangrujuedian	状如厥癫
Wozejing	卧则惊
Yanyujianse	言语謇涩
Jingxiangqiangji	颈项强急
Shitoure	时头热
Dutoudongyao	独头动摇
Zukoujin	卒口噤
Beifanzhang	背反张
Wobuzhexi	卧不着席
Xiechi	齘齿
Bunengqi	不能起
Shuizouchangjianliliyousheng	水走肠间沥沥有声
Fazehanre	发则寒热
Yiyushifubunengshi	意欲食复不能食
Changmoran	常默然
Yuwobunengwo	欲卧不能卧
Yuxingbunengxing	欲行不能行
Ruhanwuhan	如寒无寒
Rurewure	如热无热
Nishitoutong	溺时头痛
Jifujiacuo	肌肤甲错
Liangmuanhei	两目黯黑
Shuizhong	水肿
Yishenxizhong	一身悉肿
Yishenmianmuhuangzhong	一身面目黄肿
Xingzhong	形肿
Fuzhonganzhimeizhi	胕肿按之没指
Huangdan	黄疸
Jiuhuangdan	酒黄疸
Nvlaodan	女劳疸
Hanzhanyi	汗沾衣
Sezhenghuangrubaizhi	色正黄如柏汁
Shenseruxunhuang	身色如熏黄
Nvxue	衄血
Xiaxue	下血
Louxia	漏下
Xulao	虚劳
Xulaoyaotong	虚劳腰痛
Xulaoxufanbudemian	虚劳虚烦不得眠
Wulaoxuji	五劳虚极
Xulei	虚羸
Xuleishaoqi	虚羸少气
Yijing	遗精
Faluo	发落
Mengshijing	梦失精
Feiweituxianmo	肺痿吐涎沫
Fanman	烦满
Renshen	妊娠
Renshenxiaxue	妊娠下血
Renshenoutubuzhi	妊娠呕吐不止
Renshenyoushuiqi	妊娠有水气
Furensuyouzhengbing	妇人宿有癥病
Jingduan	经断
Jingduanweijisanyue	经断未及三月
Jingshuibuli	经水不利
Jingyiyuezaijian	经一月再见
Jingshuishilai	经水适来
Jingshuishiduan	经水适断
Daixia	带下
Taidong	胎动
Taidongzaiqishang	胎动在脐上
Chanhoufutong	产后腹痛
Fanluan	烦乱
Ouni	呕逆
Furenyinhan	妇人阴寒
Furenshaofuman	妇人少腹满
Furenshaofumanrudunzhuang	妇人少腹满如敦状
Banchan	半产
Chanhouxiali	产后下利
Yinyang	阴痒
Yinzhong	阴肿
Yinzhongtong	阴中痛
Yinchui	阴吹
Yintouhan	阴头寒
Yinchuang	阴疮
Yinzhongjishengchuang	阴中即生疮
Yinzhongshichuanglanzhe	阴中蚀疮烂者
Nangsuo	囊缩
Yinchetong	阴掣痛
Yinxiashi	阴下湿
Shenyouchuang	身有疮
Younong	有脓
Feiyong	肺痈
Changyong	肠痈
Nuemu	疟母
Furenzangzao	妇人脏躁
Jiaoqichongxin	脚气冲心
Pishui	皮水
Lishui	里水
Jiexiong	结胸
Hanshijiexiong	寒实结胸
Ganzhe	肝着
Dabingchaihou	大病差后
Laofu	劳复
Ribusuoju	日晡所剧
Weizhongyouxieqi	胃中有邪气
Fengqibaiji	风气百疾
Xinqibuzu	心气不足
Changyudaqixiongshang	常欲蹈其胸上
Shanghanmaifu	伤寒脉浮
Anzhishiying	按之石硬
Xiongxiemanweijie	胸胁满微结
Anzhibutong	按之不痛
Citong	刺痛
Tanduo	痰多
Tanduoqingxi	痰多清稀
